scenario,scenario_label,stage,stage_sequence,worker_count,utilization_percent,mean_queue,p95_queue,max_queue,mean_processing_time_seconds,mean_waiting_time_seconds
baseline,Baseline,PROCESSING,1,5,0.05556420079870889,37.303361166789216,140.0,867,61.75354716541472,15574.41533374558
baseline,Baseline,PICKING,2,15,0.10241947425552834,17.336277837652723,66.0,498,341.48421518785057,603.6624762935809
baseline,Baseline,PACKING,3,10,0.06328510869334004,0.013416464378884177,0.0,14,140.66898788737302,298.3089098296955
baseline,Baseline,SORTING,4,5,0.041741157553188864,0.005831931588118572,0.0,7,46.39074268408718,112.68560455983521
baseline,Baseline,DISPATCH,5,3,0.3115266031343654,42.34071977518357,158.0,779,207.73669920636908,4514.577816354106
dispatch_plus_1,Dispatch +1 Worker,PROCESSING,1,5,0.05556420079870889,37.303361166789216,140.0,867,61.75354716541472,15574.41533374558
dispatch_plus_1,Dispatch +1 Worker,PICKING,2,15,0.10241947425552834,17.336277837652723,66.0,498,341.48421518785057,603.6624762935809
dispatch_plus_1,Dispatch +1 Worker,PACKING,3,10,0.06328510869334004,0.013416464378884177,0.0,14,140.66898788737302,298.3089098296955
dispatch_plus_1,Dispatch +1 Worker,SORTING,4,5,0.041741157553188864,0.005831931588118572,0.0,7,46.39074268408718,112.68560455983521
dispatch_plus_1,Dispatch +1 Worker,DISPATCH,5,4,0.23364495235077407,28.310089543820066,98.0,656,207.73669920636908,2030.3000455142474
picking_plus_5,Picking +5 Workers,PROCESSING,1,5,0.05556420079870889,37.303361166789216,140.0,867,61.75354716541472,15574.41533374558
picking_plus_5,Picking +5 Workers,PICKING,2,20,0.07681460569164626,9.501072712805069,38.0,289,341.48421518785057,289.6596684142686
picking_plus_5,Picking +5 Workers,PACKING,3,10,0.06329633067084546,0.10841953646719917,1.0,19,140.69393189474496,308.163589703196
picking_plus_5,Picking +5 Workers,SORTING,4,5,0.041741157553188864,0.014242402876683354,0.0,7,46.39074268408718,114.43962133042577
picking_plus_5,Picking +5 Workers,DISPATCH,5,3,0.3115650458037269,45.6610932605433,169.0,864,207.76233410612238,4818.439748380667
packing_plus_2,Packing +2 Workers,PROCESSING,1,5,0.05556420079870889,37.303361166789216,140.0,867,61.75354716541472,15574.41533374558
packing_plus_2,Packing +2 Workers,PICKING,2,15,0.10241947425552834,17.336277837652723,66.0,498,341.48421518785057,603.6624762935809
packing_plus_2,Packing +2 Workers,PACKING,3,12,0.05273759057778337,0.009548654828214865,0.0,14,140.66898788737302,298.09655544069864
packing_plus_2,Packing +2 Workers,SORTING,4,5,0.041741157553188864,0.007342794693848772,0.0,7,46.39074268408718,112.70808693515376
packing_plus_2,Packing +2 Workers,DISPATCH,5,3,0.31151203360068375,42.341394627370796,158.0,779,207.72698373807341,4513.756262596942
productivity_plus_10,Productivity +10%,PROCESSING,1,5,0.05042355233265144,37.05075492793183,140.0,867,56.04027723718294,15499.640114612454
productivity_plus_10,Productivity +10%,PICKING,2,15,0.09293866120161974,17.0221391807093,65.0,480,309.8735471133466,561.735877979966
productivity_plus_10,Productivity +10%,PACKING,3,10,0.05743664395294245,0.01305385723350893,0.0,14,127.66912689774821,273.60566087622004
productivity_plus_10,Productivity +10%,SORTING,4,5,0.03787870073781504,0.005831931588118572,0.0,7,42.098043325616295,95.43948783957654
productivity_plus_10,Productivity +10%,DISPATCH,5,3,0.28266121002316585,37.718324754988366,130.0,778,188.48825805918224,3439.2675292154595
extended_shift,Extended Shift,PROCESSING,1,5,0.04630350066559074,28.516876340891006,117.0,667,61.75354716541472,11388.609625260584
extended_shift,Extended Shift,PICKING,2,15,0.08535733708500183,14.007534170687242,56.0,474,341.51532384094406,500.323905344225
extended_shift,Extended Shift,PACKING,3,10,0.05274363741659273,0.01018321733262155,0.0,14,140.68511685128493,222.07605008449755
extended_shift,Extended Shift,SORTING,4,5,0.03478429796099072,0.005398817497809249,0.0,9,46.39074268408718,81.8098798055217
extended_shift,Extended Shift,DISPATCH,5,3,0.2596734417962918,29.898087247308144,107.0,770,207.7910642400665,2848.9039906658977
